Sampling fequency [Hz]:	100	x-velocity [mm/s]: 	100	Track length [mm]:	10	Cycles:	9000
Fx	Fy	Fz	Tx	Ty	Tz	x-Position
3.565	-0.135	-21.260	0.104	0.015	-0.001	8000.000
2.938	0.016	-20.846	0.104	0.003	0.016	7997.000
-0.007	0.733	-22.251	0.094	-0.072	-0.022	7977.000
2.545	1.044	-21.849	0.104	-0.049	-0.004	7977.000
7.732	0.816	-16.691	0.101	-0.173	0.001	7749.000
-2.341	0.052	-23.026	0.089	-0.054	-0.005	7604.000
-0.957	-1.559	-17.411	0.092	-0.124	-0.006	7522.000
-1.026	-0.035	-19.152	0.103	-0.147	-0.008	7225.000
-3.812	-0.071	-18.887	0.098	-0.142	-0.016	6999.000
-1.815	0.255	-18.627	0.095	-0.147	-0.008	6999.000
-3.139	-0.246	-17.899	0.089	-0.133	-0.018	6420.000
-2.347	-0.077	-16.758	0.086	-0.136	-0.018	6078.000
-1.906	0.317	-15.908	0.087	-0.155	-0.004	6078.000
-3.289	0.089	-16.413	0.088	-0.179	-0.018	5352.000
-1.675	-0.060	-15.771	0.082	-0.155	-0.006	5133.000
-2.298	0.162	-14.770	0.072	-0.180	0.005	4684.000
-3.382	-0.313	-14.989	0.083	-0.186	-0.029	4684.000
-0.510	0.531	-15.082	0.074	-0.116	0.001	3552.000
-1.103	-0.335	-14.108	0.064	-0.158	-0.026	3101.000
-0.408	0.024	-12.475	0.079	-0.163	-0.001	2628.000
-4.468	-0.367	-13.192	0.090	-0.268	-0.001	2238.000
-2.455	-0.656	-14.470	0.093	-0.206	-0.024	2004.000
-2.581	0.128	-14.288	0.073	-0.194	-0.004	2004.000
-0.398	-0.019	-16.267	0.069	-0.157	-0.009	1383.000
-1.194	0.582	-15.236	0.060	-0.193	-0.014	1015.000
-1.060	-0.287	-16.556	0.079	-0.212	-0.003	711.000
-3.291	-0.705	-16.651	0.082	-0.247	-0.009	541.000
-1.967	-0.362	-15.981	0.090	-0.261	-0.008	375.000
-2.828	1.239	-15.576	0.100	-0.254	-0.013	336.000
-5.059	-1.366	-17.008	0.078	-0.246	-0.017	336.000
-2.801	-1.573	-19.379	0.088	-0.170	-0.059	43.000
-0.562	1.552	-15.376	0.092	-0.269	-0.006	19.000
-1.867	0.401	-17.935	0.091	-0.285	-0.015	1.000
-0.878	-0.434	-18.144	0.104	-0.236	0.001	1.000
-0.263	0.426	-15.584	0.123	-0.265	-0.001	1.000
2.759	1.235	-19.557	0.097	-0.253	0.008	126.000
-1.521	-3.720	-19.126	0.074	-0.218	0.030	284.000
3.016	0.240	-18.321	0.100	-0.232	0.025	430.000
1.205	0.853	-19.265	0.100	-0.177	0.002	495.000
3.506	0.490	-18.288	0.092	-0.215	0.013	818.000
2.675	0.456	-19.889	0.104	-0.165	0.011	896.000
3.953	0.382	-19.705	0.101	-0.180	0.015	1172.000
3.638	0.404	-20.756	0.105	-0.143	0.001	1582.000
4.005	-0.054	-20.875	0.107	-0.150	0.018	2087.000
3.718	0.115	-21.494	0.109	-0.127	0.006	2461.000
4.093	-0.363	-21.903	0.108	-0.129	0.022	2559.000
4.441	0.550	-21.596	0.116	-0.078	0.001	3012.000
2.687	0.271	-22.242	0.110	-0.143	0.006	3012.000
4.424	0.247	-22.244	0.109	-0.074	0.007	4317.000
2.396	-0.042	-22.431	0.112	-0.093	0.009	4709.000
4.257	-0.341	-22.784	0.108	-0.064	0.015	4709.000
3.469	0.263	-22.912	0.118	-0.079	0.016	5447.000
2.564	0.246	-22.862	0.112	-0.064	0.010	5447.000
3.326	0.724	-23.109	0.115	-0.070	0.015	5447.000
2.849	-0.203	-23.061	0.112	-0.054	0.008	5447.000
3.544	0.175	-23.354	0.115	-0.037	0.019	5447.000
3.615	-0.139	-23.472	0.114	-0.022	0.014	5447.000
3.435	0.266	-23.016	0.118	-0.037	0.019	5447.000
2.853	0.157	-23.558	0.117	-0.021	-0.002	5447.000
2.682	-0.616	-23.361	0.114	-0.014	0.018	5447.000
3.836	0.758	-22.936	0.116	-0.025	0.023	7762.000
6.339	0.799	-23.379	0.122	0.016	0.011	7762.000
0.346	0.071	-23.767	0.117	0.063	0.008	7762.000
6.345	0.537	-23.544	0.123	-0.004	0.009	7762.000
3.340	-0.224	-24.225	0.120	0.030	0.010	7762.000
3.672	0.226	-23.366	0.112	-0.021	0.002	7762.000
2.027	0.113	-22.603	0.111	-0.027	0.017	7762.000
2.538	0.029	-22.081	0.111	-0.030	0.010	7762.000
2.472	-0.001	-22.295	0.111	-0.024	0.012	7762.000
3.070	0.066	-22.862	0.114	-0.016	0.012	7762.000
3.308	-0.115	-22.897	0.116	-0.006	0.008	7762.000
3.173	0.034	-23.123	0.114	-0.007	0.013	7762.000
2.978	-0.045	-22.816	0.114	-0.015	0.008	7762.000
2.717	0.040	-22.539	0.112	-0.019	0.013	7762.000
2.745	0.034	-22.409	0.111	-0.022	0.010	7762.000
2.787	0.013	-22.578	0.112	-0.018	0.011	7762.000
3.053	0.001	-22.589	0.112	-0.014	0.011	7762.000
3.025	0.018	-22.765	0.112	-0.012	0.009	7762.000
3.009	0.047	-22.710	0.113	-0.014	0.012	7762.000
2.818	0.007	-22.644	0.112	-0.015	0.010	7762.000
2.836	0.039	-22.550	0.112	-0.017	0.012	7762.000
2.841	-0.003	-22.527	0.113	-0.017	0.010	7762.000
2.943	-0.010	-22.467	0.113	-0.015	0.011	7762.000
2.947	-0.008	-22.535	0.112	-0.014	0.010	7762.000
2.943	0.011	-22.514	0.112	-0.014	0.011	7762.000
2.870	0.041	-22.389	0.112	-0.016	0.011	8000.000
2.361	-0.006	-21.815	0.110	-0.029	0.008	8000.000
1.141	-0.149	-21.812	0.113	-0.045	-0.011	8000.000
-4.044	0.878	-20.806	0.106	-0.192	0.002	8000.000
-0.730	1.178	-22.327	0.096	-0.172	-0.037	7858.000
-8.660	-1.194	-18.626	0.114	-0.178	0.006	7725.000
-3.573	0.593	-18.363	0.109	-0.226	-0.009	7725.000
-4.523	0.039	-19.982	0.102	-0.186	-0.019	7725.000
-3.686	-0.110	-18.997	0.100	-0.163	-0.015	7725.000
-3.343	0.278	-19.241	0.106	-0.151	-0.008	7725.000
-2.773	-0.278	-18.703	0.099	-0.161	-0.023	7725.000
-2.916	-0.005	-18.730	0.096	-0.157	-0.022	7725.000
-2.117	0.265	-17.467	0.094	-0.164	-0.007	7725.000
-2.628	-0.120	-17.431	0.093	-0.163	-0.018	7725.000
