Sampling fequency [Hz]:	100	x-velocity [mm/s]: 	100	Track length [mm]:	10	Cycles:	9000
Fx	Fy	Fz	Tx	Ty	Tz	x-Position
5.084	-0.435	-22.585	0.061	0.351	0.006	6420.000
6.228	-0.250	-23.199	0.074	0.362	0.017	6726.000
6.085	-0.438	-23.022	0.084	0.383	0.002	7091.000
5.146	-0.582	-21.558	0.083	0.374	0.020	7184.000
4.970	-0.857	-19.859	0.073	0.303	-0.006	7486.000
3.469	-0.352	-20.252	0.070	0.326	0.021	7628.000
6.462	0.439	-19.621	0.064	0.274	-0.010	7676.000
7.217	0.625	-17.842	0.064	0.322	0.028	7874.000
0.681	-0.935	-18.985	0.053	0.248	-0.019	7954.000
3.086	0.469	-18.116	0.064	0.285	0.008	7988.000
2.724	-0.302	-18.914	0.056	0.311	0.006	8000.000
-0.093	0.075	-19.204	0.054	0.238	0.003	7992.000
-1.033	0.185	-18.090	0.052	0.145	-0.016	7925.000
-1.556	0.148	-16.772	0.069	0.165	-0.002	7850.000
-0.184	-0.125	-18.912	0.068	0.179	-0.020	7745.000
-5.492	0.109	-19.754	0.064	0.118	0.005	7633.000
-0.660	0.046	-18.105	0.056	0.155	-0.009	7371.000
-1.996	-0.623	-18.203	0.060	0.169	-0.020	7177.000
0.001	-0.440	-18.440	0.067	0.128	-0.006	6986.000
0.051	-0.625	-17.424	0.071	0.197	-0.004	6676.000
1.200	-0.691	-17.934	0.070	0.146	-0.012	6608.000
1.083	-0.598	-17.086	0.064	0.143	-0.020	6608.000
1.008	-0.863	-16.025	0.060	0.130	0.024	5644.000
-2.250	-0.195	-20.303	0.064	0.148	-0.017	5255.000
-3.368	0.027	-22.112	0.058	0.152	-0.002	4818.000
-0.070	-0.108	-16.587	0.073	0.120	-0.031	4399.000
-0.472	-0.185	-19.329	0.059	0.130	0.023	3961.000
0.135	-0.735	-15.727	0.069	0.105	-0.010	3536.000
-0.740	0.033	-17.668	0.049	0.100	-0.016	2922.000
-1.617	-0.322	-20.269	0.070	0.079	0.010	2531.000
1.595	-0.511	-15.256	0.060	0.067	0.013	2115.000
-0.741	-0.222	-18.484	0.056	0.102	-0.048	1894.000
-0.755	-0.218	-18.045	0.075	0.044	0.043	1530.000
0.676	-0.132	-15.592	0.065	0.078	-0.028	1311.000
-2.328	-0.079	-19.143	0.063	0.025	-0.001	926.000
-3.303	0.055	-20.085	0.064	0.019	-0.015	663.000
-0.253	-0.205	-16.155	0.062	0.004	-0.013	472.000
-1.212	0.289	-16.078	0.058	0.002	0.013	472.000
-3.991	0.038	-17.464	0.060	-0.022	-0.036	192.000
2.742	1.262	-17.500	0.070	-0.065	0.016	125.000
-6.698	-1.010	-21.673	0.068	-0.015	-0.024	51.000
1.351	0.401	-19.374	0.074	0.016	-0.012	0.000
-1.457	-0.217	-21.708	0.079	0.013	-0.003	2.000
1.929	-0.220	-19.625	0.067	0.084	-0.016	22.000
3.559	-0.280	-19.964	0.079	0.043	0.012	98.000
4.836	-0.288	-18.517	0.070	0.112	0.023	184.000
4.110	-1.052	-19.205	0.050	0.078	-0.002	301.000
2.841	0.624	-19.854	0.053	0.042	0.018	424.000
0.769	-0.090	-21.167	0.056	0.126	0.006	660.000
4.983	0.203	-18.941	0.068	0.118	0.003	869.000
3.278	0.058	-22.198	0.071	0.166	0.031	1108.000
4.303	0.042	-21.876	0.071	0.159	-0.001	1255.000
4.077	0.002	-22.536	0.070	0.202	-0.001	1476.000
4.067	-0.243	-22.279	0.074	0.207	0.029	1476.000
4.534	-0.080	-23.694	0.077	0.228	-0.007	2349.000
4.453	-0.106	-22.896	0.075	0.211	0.040	2693.000
4.352	-0.356	-22.694	0.070	0.261	0.004	3269.000
3.364	-0.122	-23.151	0.081	0.242	0.002	3726.000
6.334	-0.148	-24.222	0.078	0.271	0.026	4300.000
2.953	-0.291	-22.573	0.080	0.264	0.012	4812.000
4.354	-0.053	-23.214	0.077	0.300	0.035	4893.000
5.001	-0.497	-23.854	0.073	0.328	-0.023	5480.000
4.601	-0.041	-23.130	0.081	0.357	0.044	5928.000
4.410	-0.588	-21.369	0.074	0.292	-0.014	6281.000
3.798	-0.161	-20.336	0.076	0.291	0.027	6602.000
3.308	-0.040	-20.412	0.072	0.282	0.002	6682.000
3.321	-0.039	-19.891	0.058	0.282	0.030	7153.000
3.205	-0.035	-19.484	0.057	0.288	-0.020	7332.000
2.206	0.117	-19.414	0.060	0.271	0.020	7518.000
2.984	-0.110	-17.964	0.070	0.264	0.011	7677.000
7.583	0.843	-18.314	0.064	0.223	0.014	7802.000
2.500	-0.122	-19.074	0.058	0.355	-0.003	7899.000
6.270	-0.120	-19.810	0.063	0.296	0.025	7938.000
2.035	-0.126	-21.527	0.067	0.290	-0.009	7938.000
3.877	-0.594	-18.446	0.062	0.312	0.022	8000.000
2.657	-0.448	-19.850	0.060	0.320	-0.003	7994.000
-0.393	0.159	-20.400	0.062	0.186	-0.006	7956.000
-1.890	-0.460	-21.316	0.066	0.245	-0.023	7913.000
-2.304	-0.965	-24.034	0.079	0.180	-0.013	7913.000
-3.322	-0.874	-21.850	0.080	0.146	0.002	7640.000
-2.636	0.058	-19.826	0.071	0.162	-0.028	7491.000
-5.349	-0.509	-22.214	0.070	0.189	-0.014	7439.000
-2.480	0.630	-19.900	0.064	0.154	-0.022	7030.000
-2.582	0.160	-20.993	0.067	0.169	-0.013	6860.000
-1.357	-0.301	-19.500	0.066	0.173	0.023	6599.000
-2.942	0.067	-20.606	0.064	0.183	-0.052	6165.000
-3.891	0.226	-19.567	0.068	0.152	0.019	5878.000
0.993	-0.720	-14.337	0.058	0.140	-0.001	5471.000
-1.262	-0.566	-17.417	0.055	0.104	-0.016	5024.000
0.399	-0.405	-14.917	0.062	0.091	-0.010	4549.000
-3.394	0.061	-18.580	0.063	0.118	0.028	4119.000
4.015	-1.264	-13.106	0.048	0.105	-0.052	4119.000
-2.033	-0.186	-15.335	0.067	0.073	0.014	3229.000
-0.867	0.208	-16.791	0.043	0.096	0.011	2780.000
0.895	-0.960	-13.198	0.067	0.062	-0.020	2370.000
-0.742	-0.048	-17.994	0.052	0.067	-0.019	2370.000
1.579	-0.881	-12.519	0.060	0.086	0.006	1576.000
-0.999	0.022	-17.229	0.063	0.068	0.007	1413.000
-0.151	-0.765	-16.387	0.062	0.052	-0.030	1001.000
-1.696	-0.142	-15.902	0.058	0.010	0.004	797.000
-1.296	-0.101	-19.517	0.069	0.007	-0.003	587.000
-2.131	-0.568	-18.252	0.062	0.016	-0.015	587.000
-2.080	-0.013	-18.989	0.065	-0.018	-0.002	241.000
-0.411	1.222	-18.274	0.070	-0.064	-0.006	177.000
-4.533	-0.439	-20.895	0.069	0.026	-0.026	94.000
-0.373	-0.203	-18.933	0.068	-0.004	-0.008	12.000
-1.914	0.158	-22.232	0.078	0.013	-0.013	0.000
-3.474	-0.174	-21.843	0.074	-0.025	-0.014	3.000
1.396	-0.333	-20.192	0.069	0.055	-0.001	31.000
4.170	-0.411	-20.009	0.077	0.067	-0.002	102.000
5.787	-0.574	-19.371	0.074	0.145	0.033	153.000
4.640	-1.202	-18.825	0.046	0.108	0.000	306.000
3.515	0.521	-19.426	0.062	0.065	0.008	446.000
1.060	-0.346	-20.076	0.053	0.135	0.021	681.000
4.562	0.144	-17.203	0.060	0.118	0.004	894.000
2.752	-0.181	-20.745	0.063	0.153	0.014	1114.000
3.921	0.235	-19.687	0.062	0.135	0.028	1185.000
3.781	0.237	-21.298	0.068	0.177	-0.011	1682.000
4.633	-0.370	-20.981	0.068	0.219	0.034	1931.000
5.266	-0.276	-22.197	0.073	0.230	-0.001	2489.000
4.460	0.031	-22.730	0.076	0.229	0.027	2798.000
5.036	-0.479	-23.282	0.067	0.257	0.001	2798.000
3.701	-0.359	-23.614	0.075	0.245	0.006	3786.000
6.513	0.164	-23.694	0.079	0.279	0.040	4313.000
2.967	-0.587	-23.390	0.075	0.273	-0.021	4718.000
4.740	0.133	-23.558	0.075	0.315	0.069	5205.000
4.972	-0.479	-24.046	0.074	0.323	-0.041	5617.000
5.958	-0.387	-23.055	0.084	0.381	0.057	5969.000
5.202	-0.608	-22.544	0.081	0.342	-0.016	6232.000
3.471	-0.404	-20.304	0.081	0.280	0.022	6495.000
3.036	-0.001	-21.148	0.065	0.288	-0.009	6831.000
2.844	0.271	-20.268	0.058	0.276	0.038	7107.000
3.136	0.083	-20.025	0.049	0.300	-0.021	7343.000
2.920	0.140	-21.101	0.064	0.315	0.009	7563.000
4.517	-0.112	-20.505	0.066	0.314	0.015	7691.000
8.083	0.445	-17.358	0.074	0.208	0.014	7831.000
1.811	0.023	-18.350	0.063	0.375	-0.001	7908.000
7.135	0.179	-19.100	0.060	0.270	0.016	7972.000
1.993	-0.085	-20.824	0.064	0.289	0.001	8000.000
3.501	-0.152	-17.850	0.063	0.306	0.011	8000.000
2.694	-0.499	-18.462	0.061	0.288	0.004	7986.000
