Sampling fequency [Hz]:	100	x-velocity [mm/s]: 	100	Track length [mm]:	10	Cycles:	9000
Fx	Fy	Fz	Tx	Ty	Tz	x-Position
8.101	-0.191	-21.794	0.069	0.272	0.027	1647.000
8.597	-0.485	-22.458	0.065	0.300	0.014	1647.000
8.612	0.032	-22.401	0.071	0.290	0.032	1647.000
10.592	-0.261	-23.037	0.063	0.341	0.011	2859.000
10.605	-0.461	-21.041	0.070	0.359	0.034	3168.000
10.061	-0.144	-20.991	0.071	0.380	0.032	3611.000
11.777	-0.179	-18.742	0.063	0.390	0.028	3611.000
9.143	-0.507	-21.141	0.066	0.385	0.016	3611.000
13.421	-0.486	-17.531	0.067	0.392	0.024	5178.000
10.895	-0.259	-17.829	0.070	0.402	0.047	5178.000
13.479	-0.603	-16.415	0.076	0.401	0.033	5959.000
12.288	-0.769	-16.397	0.071	0.408	0.026	6052.000
14.002	-0.418	-15.301	0.063	0.407	0.043	6052.000
11.788	-1.122	-16.055	0.068	0.414	0.028	6052.000
12.581	-1.185	-15.482	0.072	0.414	0.037	7118.000
10.712	-0.642	-18.080	0.076	0.402	0.025	7329.000
9.517	-0.735	-18.570	0.072	0.404	0.026	7463.000
7.083	-0.326	-21.893	0.073	0.389	0.014	7689.000
4.892	-1.603	-23.446	0.068	0.389	0.010	7810.000
4.408	-1.216	-21.451	0.068	0.396	0.020	7810.000
8.296	-0.401	-23.016	0.078	0.374	-0.007	7810.000
4.385	-0.808	-22.860	0.075	0.386	0.024	7810.000
5.586	-0.023	-21.912	0.072	0.392	0.001	7810.000
4.594	-0.440	-23.061	0.068	0.392	0.026	8000.000
4.835	-0.472	-23.100	0.074	0.391	-0.001	8000.000
0.960	-0.486	-24.339	0.078	0.320	0.002	7973.000
-1.386	-0.296	-21.138	0.077	0.199	-0.010	7973.000
-3.637	-0.317	-22.325	0.079	0.151	-0.014	7815.000
-2.886	0.758	-21.821	0.082	0.184	-0.017	7668.000
-6.171	-0.509	-20.395	0.068	0.132	-0.012	7668.000
-4.838	0.262	-20.686	0.074	0.118	-0.029	7668.000
-6.893	-1.336	-20.093	0.069	0.116	-0.022	7051.000
-5.128	-0.110	-21.136	0.075	0.099	-0.021	7051.000
-4.761	-0.958	-18.408	0.075	0.115	-0.014	6514.000
-1.576	-0.702	-17.529	0.076	0.101	-0.016	6305.000
-2.871	-1.277	-16.738	0.071	0.085	-0.012	6305.000
-1.120	-0.030	-17.975	0.068	0.102	-0.013	6305.000
-0.922	-1.115	-17.735	0.069	0.134	0.001	5180.000
-3.978	-0.137	-22.326	0.065	0.111	-0.037	4705.000
-3.148	0.284	-17.992	0.070	0.128	0.013	4705.000
2.822	-1.206	-13.555	0.059	0.087	0.000	4705.000
-2.477	0.236	-18.175	0.049	0.104	-0.037	3133.000
1.089	-0.071	-13.319	0.065	0.094	0.033	2756.000
-0.230	-0.857	-13.004	0.048	0.046	-0.029	2756.000
0.002	0.065	-16.709	0.055	0.095	0.009	2756.000
-1.079	-0.136	-15.909	0.064	0.036	-0.007	1614.000
2.182	-0.886	-12.937	0.045	0.091	-0.027	1322.000
-1.056	-0.639	-16.581	0.065	0.026	0.004	1064.000
-0.707	-0.734	-14.987	0.047	0.039	-0.006	1064.000
-1.932	-0.508	-15.003	0.057	0.008	-0.021	1064.000
-0.218	-0.335	-11.707	0.050	0.027	0.011	444.000
-1.033	-0.263	-14.209	0.053	0.008	-0.015	316.000
-3.557	-1.333	-18.583	0.057	0.063	-0.016	149.000
1.281	-0.027	-14.679	0.061	-0.015	-0.003	95.000
-3.057	-0.227	-19.321	0.066	0.052	-0.026	53.000
-1.564	-0.395	-18.743	0.071	0.030	-0.001	53.000
-0.858	-0.258	-19.166	0.065	0.022	-0.019	0.000
-1.191	0.023	-19.425	0.071	0.037	-0.012	8.000
-1.451	-0.492	-18.683	0.064	0.101	0.002	8.000
0.452	-0.147	-20.390	0.051	0.114	0.012	8.000
-0.211	0.182	-19.358	0.072	0.134	-0.001	196.000
5.758	0.083	-20.249	0.075	0.176	0.007	339.000
5.587	-0.315	-20.739	0.081	0.215	0.010	339.000
7.912	-0.277	-21.952	0.072	0.196	0.012	339.000
6.461	-0.427	-21.156	0.072	0.256	0.031	1076.000
9.342	-0.273	-21.918	0.068	0.259	0.020	1076.000
8.197	-0.193	-22.715	0.070	0.296	0.009	1076.000
9.944	-0.314	-23.316	0.070	0.312	0.039	1076.000
9.583	-0.304	-22.723	0.073	0.366	0.014	1076.000
10.602	-0.130	-22.697	0.072	0.364	0.013	1076.000
10.878	-0.164	-21.246	0.076	0.373	0.062	3172.000
14.098	-0.794	-19.743	0.070	0.370	0.023	3608.000
11.161	-0.613	-20.997	0.069	0.375	0.022	4180.000
12.349	-0.999	-18.607	0.069	0.389	0.026	4396.000
14.957	-0.514	-15.989	0.064	0.396	0.040	4396.000
13.219	-0.493	-16.415	0.074	0.402	0.034	4396.000
16.014	-0.567	-13.937	0.073	0.407	0.062	5926.000
13.571	-0.663	-15.503	0.063	0.410	-0.012	6159.000
14.332	-0.609	-14.844	0.073	0.407	0.094	6520.000
13.368	-0.967	-15.119	0.081	0.414	-0.003	6882.000
13.204	-0.922	-15.013	0.079	0.413	0.071	7006.000
13.347	-0.611	-15.984	0.076	0.407	0.004	7006.000
10.513	-0.576	-17.311	0.082	0.408	0.050	7542.000
8.341	-0.890	-19.975	0.074	0.400	-0.002	7588.000
