Sampling fequency [Hz]:	100	x-velocity [mm/s]: 	100	Track length [mm]:	10	Cycles:	9000
Fx	Fy	Fz	Tx	Ty	Tz	x-Position
-1.656	0.184	-15.026	0.085	0.041	-0.033	2605.000
-1.042	-0.804	-15.091	0.102	0.054	-0.026	2039.000
-0.979	0.129	-16.690	0.110	0.063	-0.019	1705.000
-0.178	-0.592	-18.901	0.123	0.065	-0.001	1481.000
-1.350	-0.066	-18.575	0.115	0.020	-0.011	1217.000
-1.362	-0.320	-18.600	0.122	0.057	-0.040	850.000
-3.044	-0.341	-18.934	0.128	0.037	-0.015	649.000
-2.216	-0.097	-18.367	0.126	-0.002	-0.018	575.000
-3.411	-0.488	-20.915	0.125	0.013	-0.024	337.000
-4.919	0.154	-18.276	0.125	0.028	-0.016	194.000
0.161	1.079	-20.673	0.136	-0.009	-0.016	91.000
-5.818	-0.706	-19.671	0.123	0.025	-0.017	51.000
-0.902	0.492	-20.179	0.125	0.028	-0.019	51.000
-3.279	-0.279	-20.592	0.125	-0.019	-0.011	0.000
-1.898	0.061	-20.210	0.128	0.002	-0.005	1.000
0.740	-0.131	-21.029	0.128	0.063	-0.001	1.000
0.383	-0.194	-20.001	0.113	0.043	0.028	120.000
-3.795	-1.146	-19.028	0.115	0.145	-0.018	229.000
5.444	1.534	-18.667	0.139	0.067	0.035	336.000
1.643	-0.198	-20.653	0.120	0.117	-0.005	451.000
4.124	0.081	-20.446	0.127	0.094	0.035	591.000
2.209	0.094	-21.867	0.133	0.134	0.007	591.000
3.325	-0.234	-21.497	0.127	0.118	0.009	1230.000
2.256	-0.260	-20.692	0.132	0.156	0.035	1517.000
3.963	0.027	-20.122	0.132	0.157	0.014	1816.000
2.840	-0.505	-22.208	0.138	0.174	0.004	2109.000
3.815	-0.163	-22.049	0.139	0.192	0.042	2109.000
2.903	-0.749	-23.024	0.140	0.211	-0.016	3106.000
4.302	-0.105	-22.885	0.141	0.234	0.041	3455.000
4.747	-0.434	-23.833	0.148	0.267	0.042	3794.000
1.840	-0.447	-24.548	0.145	0.240	-0.045	3794.000
5.285	-0.750	-23.610	0.138	0.351	0.004	4963.000
