Sampling fequency [Hz]:	100	x-velocity [mm/s]: 	100	Track length [mm]:	10	Cycles:	9000
Fx	Fy	Fz	Tx	Ty	Tz	x-Position
-1.539	0.050	-22.495	0.404	-0.008	-0.031	6526.000
-1.139	-0.049	-21.303	0.398	-0.039	-0.046	6274.000
-0.720	-0.163	-21.275	0.383	-0.034	-0.018	5877.000
-1.296	-0.368	-20.698	0.379	-0.052	-0.039	5532.000
-1.051	-0.118	-20.172	0.382	-0.074	-0.014	5182.000
-0.688	-0.484	-20.820	0.373	-0.066	-0.034	5182.000
-0.518	-0.187	-19.702	0.358	-0.064	-0.049	4362.000
-1.207	-0.272	-19.375	0.346	-0.103	-0.014	3656.000
-1.253	-0.089	-19.558	0.354	-0.079	-0.034	3206.000
-0.598	0.007	-18.965	0.359	-0.096	-0.042	2850.000
-2.373	-0.350	-18.615	0.364	-0.129	-0.033	2850.000
-2.259	-0.372	-18.299	0.355	-0.148	-0.048	2134.000
-3.182	-0.483	-18.504	0.366	-0.185	-0.036	1634.000
-2.320	-0.521	-19.250	0.375	-0.170	-0.014	1369.000
-1.941	0.082	-20.120	0.389	-0.173	-0.034	1050.000
-1.602	-0.544	-20.119	0.382	-0.184	-0.022	786.000
-2.045	-0.239	-21.052	0.404	-0.176	-0.041	656.000
-1.824	0.219	-23.255	0.412	-0.223	-0.030	513.000
-2.409	1.828	-24.414	0.422	-0.227	-0.041	300.000
-0.449	1.022	-25.085	0.429	-0.279	-0.015	164.000
-4.255	-0.008	-26.755	0.428	-0.226	-0.054	65.000
-3.862	0.481	-24.603	0.428	-0.278	-0.044	65.000
0.063	1.117	-24.953	0.430	-0.212	-0.022	0.000
-0.339	0.844	-25.587	0.425	-0.171	-0.003	8.000
3.312	1.050	-25.760	0.426	-0.043	0.032	35.000
2.072	0.528	-27.012	0.421	-0.038	0.043	112.000
-3.255	-0.689	-25.976	0.425	0.091	0.012	224.000
5.069	2.816	-25.555	0.427	-0.054	0.038	304.000
2.328	0.900	-23.991	0.434	-0.031	0.028	520.000
3.062	0.868	-24.018	0.429	-0.051	0.043	734.000
2.047	-0.292	-25.781	0.430	-0.032	0.046	899.000
3.280	0.460	-23.797	0.434	-0.017	0.036	1217.000
2.675	-0.350	-24.953	0.446	-0.002	0.045	1505.000
3.713	0.095	-25.978	0.465	0.021	0.035	1789.000
3.889	0.438	-27.690	0.484	0.033	0.059	1789.000
4.489	0.290	-28.063	0.493	0.038	0.080	1789.000
3.486	0.959	-28.892	0.506	0.073	0.038	1789.000
3.332	-0.033	-29.512	0.512	0.091	0.045	1789.000
5.800	0.085	-30.658	0.516	0.137	0.062	1789.000
2.269	1.035	-31.430	0.533	0.098	0.040	1789.000
5.160	1.379	-31.426	0.537	0.165	0.106	1789.000
3.160	0.881	-32.517	0.540	0.131	0.020	1789.000
3.572	0.944	-32.218	0.546	0.174	0.061	5729.000
2.283	0.958	-31.825	0.540	0.176	0.072	6142.000
1.684	1.004	-31.973	0.538	0.142	0.026	6392.000
2.610	0.432	-31.640	0.526	0.163	0.065	6727.000
1.480	0.821	-29.907	0.527	0.170	0.039	6875.000
2.839	0.460	-30.718	0.525	0.189	0.038	7105.000
1.209	0.168	-29.533	0.503	0.209	0.047	7357.000
3.369	0.358	-27.381	0.494	0.190	0.034	7597.000
1.810	-0.461	-25.929	0.470	0.182	0.025	7760.000
5.327	1.180	-24.219	0.466	0.099	0.034	7872.000
0.387	-0.647	-26.661	0.448	0.133	0.077	7872.000
2.810	-0.008	-23.486	0.451	0.211	-0.005	7872.000
1.603	-0.520	-26.042	0.450	0.149	0.037	8000.000
